Tm,BatAge,R/G,G,year
Arizona Diamondbacks,28.7,5.02,162,2019
Atlanta Braves,28.0,5.28,162,2019
Baltimore Orioles,26.5,4.50,162,2019
Boston Red Sox,27.3,5.56,162,2019
Chicago Cubs,27.7,5.02,162,2019
Chicago White Sox,27.6,4.40,161,2019
Cincinnati Reds,27.8,4.33,162,2019
Cleveland Indians,27.7,4.75,162,2019
Colorado Rockies,28.2,5.15,162,2019
Detroit Tigers,27.6,3.61,161,2019
Houston Astros,29.0,5.68,162,2019
Kansas City Royals,27.6,4.27,162,2019
Los Angeles Angels,28.8,4.75,162,2019
Los Angeles Dodgers,27.9,5.47,162,2019
Miami Marlins,28.4,3.80,162,2019
Milwaukee Brewers,28.9,4.75,162,2019
Minnesota Twins,27.8,5.80,162,2019
New York Mets,27.9,4.88,162,2019
New York Yankees,28.3,5.82,162,2019
Oakland Athletics,27.8,5.22,162,2019
Philadelphia Phillies,27.7,4.78,162,2019
Pittsburgh Pirates,27.5,4.68,162,2019
San Diego Padres,26.2,4.21,162,2019
Seattle Mariners,27.8,4.68,162,2019
San Francisco Giants,29.9,4.19,162,2019
St. Louis Cardinals,28.8,4.72,162,2019
Tampa Bay Rays,27.2,4.75,162,2019
Texas Rangers,28.8,5.00,162,2019
Toronto Blue Jays,25.9,4.48,162,2019
Washington Nationals,28.8,5.39,162,2019
League Average,27.9,4.83,162,2019
Tm,BatAge,R/G,G,2019
,27.9,4.83,4858,2019
Arizona Diamondbacks,29.1,4.48,60,2020
Atlanta Braves,28.2,5.80,60,2020
Baltimore Orioles,26.3,4.57,60,2020
Boston Red Sox,27.0,4.87,60,2020
Chicago Cubs,27.9,4.42,60,2020
Chicago White Sox,27.6,5.10,60,2020
Cincinnati Reds,29.1,4.05,60,2020
Cleveland Indians,27.9,4.13,60,2020
Colorado Rockies,28.7,4.58,60,2020
Detroit Tigers,27.5,4.29,58,2020
Houston Astros,29.2,4.65,60,2020
Kansas City Royals,27.8,4.13,60,2020
Los Angeles Angels,28.5,4.90,60,2020
Los Angeles Dodgers,28.0,5.82,60,2020
Miami Marlins,29.0,4.38,60,2020
Milwaukee Brewers,28.5,4.12,60,2020
Minnesota Twins,28.7,4.48,60,2020
New York Mets,27.8,4.77,60,2020
New York Yankees,28.5,5.25,60,2020
Oakland Athletics,28.1,4.57,60,2020
Philadelphia Phillies,28.5,5.10,60,2020
Pittsburgh Pirates,27.1,3.65,60,2020
San Diego Padres,26.7,5.42,60,2020
Seattle Mariners,26.6,4.23,60,2020
San Francisco Giants,29.8,4.98,60,2020
St. Louis Cardinals,28.8,4.14,58,2020
Tampa Bay Rays,27.1,4.82,60,2020
Texas Rangers,27.4,3.73,60,2020
Toronto Blue Jays,25.9,5.03,60,2020
Washington Nationals,28.6,4.88,60,2020
League Average,28.0,4.65,60,2020
Tm,BatAge,R/G,G,2020
,28.0,4.65,1796,2020
Arizona Diamondbacks,28.9,4.19,162,2021
Atlanta Braves,28.2,4.91,161,2021
Baltimore Orioles,26.7,4.07,162,2021
Boston Red Sox,28.0,5.12,162,2021
Chicago Cubs,29.1,4.35,162,2021
Chicago White Sox,28.0,4.91,162,2021
Cincinnati Reds,28.9,4.85,162,2021
Cleveland Indians,26.7,4.43,162,2021
Colorado Rockies,28.1,4.59,161,2021
Detroit Tigers,28.1,4.30,162,2021
Houston Astros,28.9,5.33,162,2021
Kansas City Royals,29.3,4.23,162,2021
Los Angeles Angels,29.2,4.46,162,2021
Los Angeles Dodgers,29.2,5.12,162,2021
Miami Marlins,28.2,3.85,162,2021
Milwaukee Brewers,28.7,4.56,162,2021
Minnesota Twins,28.3,4.50,162,2021
New York Mets,28.2,3.93,162,2021
New York Yankees,29.3,4.39,162,2021
Oakland Athletics,30.1,4.59,162,2021
Philadelphia Phillies,29.1,4.53,162,2021
Pittsburgh Pirates,27.5,3.76,162,2021
San Diego Padres,28.0,4.50,162,2021
Seattle Mariners,27.0,4.30,162,2021
San Francisco Giants,30.6,4.96,162,2021
St. Louis Cardinals,28.5,4.36,162,2021
Tampa Bay Rays,27.7,5.29,162,2021
Texas Rangers,26.8,3.86,162,2021
Toronto Blue Jays,26.8,5.22,162,2021
Washington Nationals,28.7,4.47,162,2021
League Average,28.4,4.53,162,2021
Tm,BatAge,R/G,G,2021
,28.4,4.53,4858,2021
Arizona Diamondbacks,26.5,4.33,162,2022
Atlanta Braves,27.5,4.87,162,2022
Baltimore Orioles,27.0,4.16,162,2022
Boston Red Sox,28.8,4.54,162,2022
Chicago Cubs,27.9,4.06,162,2022
Chicago White Sox,29.3,4.23,162,2022
Cincinnati Reds,29.4,4.00,162,2022
Cleveland Guardians,25.9,4.31,162,2022
Colorado Rockies,29.1,4.31,162,2022
Detroit Tigers,27.9,3.44,162,2022
Houston Astros,29.3,4.55,162,2022
Kansas City Royals,27.1,3.95,162,2022
Los Angeles Angels,27.9,3.85,162,2022
Los Angeles Dodgers,29.6,5.23,162,2022
Miami Marlins,28.9,3.62,162,2022
Milwaukee Brewers,29.1,4.48,162,2022
Minnesota Twins,26.9,4.30,162,2022
New York Mets,29.7,4.77,162,2022
New York Yankees,30.2,4.98,162,2022
Oakland Athletics,28.3,3.51,162,2022
Philadelphia Phillies,28.1,4.61,162,2022
Pittsburgh Pirates,26.3,3.65,162,2022
San Diego Padres,28.2,4.35,162,2022
Seattle Mariners,27.5,4.26,162,2022
San Francisco Giants,30.0,4.42,162,2022
St. Louis Cardinals,28.8,4.77,162,2022
Tampa Bay Rays,27.0,4.11,162,2022
Texas Rangers,28.0,4.36,162,2022
Toronto Blue Jays,27.1,4.78,162,2022
Washington Nationals,28.7,3.72,162,2022
League Average,28.2,4.28,162,2022
Tm,BatAge,R/G,G,2022
,28.2,4.28,4860,2022
Arizona Diamondbacks,27.4,4.60,162,2023
Atlanta Braves,27.9,5.85,162,2023
Baltimore Orioles,27.2,4.98,162,2023
Boston Red Sox,28.6,4.77,162,2023
Chicago Cubs,28.4,5.06,162,2023
Chicago White Sox,27.8,3.96,162,2023
Cincinnati Reds,26.8,4.83,162,2023
Cleveland Guardians,26.6,4.09,162,2023
Colorado Rockies,28.1,4.45,162,2023
Detroit Tigers,27.4,4.08,162,2023
Houston Astros,28.8,5.10,162,2023
Kansas City Royals,26.3,4.17,162,2023
Los Angeles Angels,28.6,4.56,162,2023
Los Angeles Dodgers,30.9,5.59,162,2023
Miami Marlins,29.4,4.11,162,2023
Milwaukee Brewers,27.7,4.49,162,2023
Minnesota Twins,28.6,4.80,162,2023
New York Mets,28.9,4.43,162,2023
New York Yankees,28.5,4.15,162,2023
Oakland Athletics,27.1,3.61,162,2023
Philadelphia Phillies,28.4,4.91,162,2023
Pittsburgh Pirates,27.3,4.27,162,2023
San Diego Padres,28.4,4.64,162,2023
Seattle Mariners,27.8,4.68,162,2023
San Francisco Giants,28.4,4.16,162,2023
St. Louis Cardinals,27.5,4.44,162,2023
Tampa Bay Rays,26.8,5.31,162,2023
Texas Rangers,28.3,5.44,162,2023
Toronto Blue Jays,28.8,4.60,162,2023
Washington Nationals,26.8,4.32,162,2023
League Average,28.0,4.62,162,2023
Tm,BatAge,R/G,G,2023
,28.0,4.62,4860,2023
